SNo,Name,Age,City,Country,Salary
1,Tom,28,Toronto,Canada,20000
2,Lee,31,Edmonto,Canada,3900
3,Dave,34,Toronto,Canada,8000
4,Anik,26,HongKong,Asia,66672
5,kamal,30,NaN,America,NaN
6,Geet,NaN,HongKong,Asia,30007
7,Steven,43,BayArea,America,8300
8,Ram,38,Hyderabad,Asia,54666
9,hari,50,newyork,America,67666
11,yami,NaN,newyork,America,8888
12,Anik,26,HongKong,Asia,66672
13,kamal,30,NaN,America,34344
14,Geet,22,HongKong,Asia,30007
15,Steven,43,NaN,America,8300
16,Ram,38,Hyderabad,Asia,54666
17,hari,NaN,newyork,America,67666
18,yami,27,newyork,America,8888
19,Lee,31,Edmonto,Canada,NaN
20,Andrew,34,Congo,Africa,34432
21,soham,32,Angola,Africa,34534
22,Grig,26,Finland,Europe,33451
23,Kiara,27,London,Europe,NaN
